date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:37	662/662	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Nov%202024%2019:37:37%20GMT	https://7grizzlysms.com/robots.txt		(from )
14:37:37	350047/350047	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2019:37:37%20GMT	https://7grizzlysms.com/	/home/kali/7grizzlysms_clone/7grizzlysms.com/index.html	(from )
14:37:37	8736/8736	---M--	200	added ('OK')	image/jpeg	etag:%2264295f4a-2220%22	https://7grizzlysms.com/storage/3_logo-grizzly_51f4228a.jpg	/home/kali/7grizzlysms_clone/7grizzlysms.com/storage/3_logo-grizzly_51f4228a.jpg	(from https://7grizzlysms.com/)
14:37:39	228414/228414	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2011%20Nov%202024%2011:47:19%20GMT	https://7grizzlysms.com/favicon.ico	/home/kali/7grizzlysms_clone/7grizzlysms.com/favicon.ico	(from https://7grizzlysms.com/)
14:37:40	8913/8913	---MC-	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202024%2011:47:20%20GMT	https://7grizzlysms.com/apple-touch-icon.png	/home/kali/7grizzlysms_clone/7grizzlysms.com/apple-touch-icon.png	(from https://7grizzlysms.com/)
14:37:41	1805/1805	---MC-	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202024%2011:50:57%20GMT	https://7grizzlysms.com/favicon-32x32.png	/home/kali/7grizzlysms_clone/7grizzlysms.com/favicon-32x32.png	(from https://7grizzlysms.com/)
14:37:42	1104/1104	---MC-	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202024%2021:00:49%20GMT	https://7grizzlysms.com/favicon-16x16.png	/home/kali/7grizzlysms_clone/7grizzlysms.com/favicon-16x16.png	(from https://7grizzlysms.com/)
14:37:43	4808/4808	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Nov%202024%2019:37:43%20GMT	https://7grizzlysms.com/safari-pinned-tab.svg	/home/kali/7grizzlysms_clone/7grizzlysms.com/safari-pinned-tab.svg	(from https://7grizzlysms.com/)
14:37:44	5856/5856	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Nov%202024%2011:47:18%20GMT	https://7grizzlysms.com/logos/logo-light-v1.svg	/home/kali/7grizzlysms_clone/7grizzlysms.com/logos/logo-light-v1.svg	(from https://7grizzlysms.com/)
14:37:45	218/218	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Nov%202024%2019:37:45%20GMT	https://7grizzlysms.com/_nuxt/manifest.55cc1482.json	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/manifest.55cc1482.json	(from https://7grizzlysms.com/)
14:37:45	222840/222840	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202024%2019:37:46%20GMT	https://7grizzlysms.com/'~assets/img/svg/header/logo-light-v1.svg'	/home/kali/7grizzlysms_clone/7grizzlysms.com/'_assets/img/svg/header/logo-light-v1.svg'	(from https://7grizzlysms.com/)
14:37:46	222833/222833	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202024%2019:37:47%20GMT	https://7grizzlysms.com/'~assets/img/svg/header/logo-dark-v1.svg'	/home/kali/7grizzlysms_clone/7grizzlysms.com/'_assets/img/svg/header/logo-dark-v1.svg'	(from https://7grizzlysms.com/)
14:37:47	772/772	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2013:02:17%20GMT	https://7grizzlysms.com/_nuxt/css/695d84b.css?v=1731328406091	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/css/695d84b6b90.css	(from https://7grizzlysms.com/)
14:37:49	89553/89553	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2013:02:17%20GMT	https://7grizzlysms.com/_nuxt/css/b7e6d99.css?v=1731328406091	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/css/b7e6d996b90.css	(from https://7grizzlysms.com/)
14:37:49	2920/2920	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2013:02:17%20GMT	https://7grizzlysms.com/_nuxt/css/fa341aa.css?v=1731328406091	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/css/fa341aa6b90.css	(from https://7grizzlysms.com/)
14:37:50	7467/7467	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2013:02:17%20GMT	https://7grizzlysms.com/_nuxt/css/ac5b10c.css?v=1731328406091	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/css/ac5b10c6b90.css	(from https://7grizzlysms.com/)
14:37:51	8047/8047	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2013:02:17%20GMT	https://7grizzlysms.com/_nuxt/css/040bedc.css?v=1731328406091	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/css/040bedc6b90.css	(from https://7grizzlysms.com/)
14:37:53	82581/82581	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Nov%202024%2013:02:17%20GMT	https://7grizzlysms.com/_nuxt/css/5ad3792.css?v=1731328406091	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/css/5ad37926b90.css	(from https://7grizzlysms.com/)
14:37:53	2500/2500	---MC-	200	added ('OK')	font/woff2	date:Tue,%2012%20Nov%202024%2009:45:40%20GMT	https://7grizzlysms.com/_nuxt/fonts/Manrope-400-cyrillic-ext1.woff2	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/fonts/Manrope-400-cyrillic-ext1.woff2	(from https://7grizzlysms.com/)
14:37:55	14204/14204	---MC-	200	added ('OK')	font/woff2	date:Tue,%2012%20Nov%202024%2009:45:40%20GMT	https://7grizzlysms.com/_nuxt/fonts/Manrope-400-cyrillic2.woff2	/home/kali/7grizzlysms_clone/7grizzlysms.com/_nuxt/fonts/Manrope-400-cyrillic2.woff2	(from https://7grizzlysms.com/)
